name,community
245.95_140.08,3
246.18_56.12,5
246.2_123.79,3
246.35_84.15,3
246.47_54.16,5
246.51_81.76,3
246.56_74.02,1
247.07_93.33,3
247.12_89.32,3
247.18_143.68,3
247.24_57.68,5
247.25_125.5,5
247.39_86.08,3
247.66_54.59,3
247.72_133.66,3
247.75_109.36,3
247.81_97.4,3
247.96_122.91,3
248.07_107.18,3
248.1_127.89,3
248.2_62.25,3
248.21_112.76,3
248.4_137.01,3
248.81_130.54,3
248.87_82.45,3
248.92_56.49,3
249.08_116.87,3
249.22_54.79,3
249.27_129.88,5
249.34_103.77,3
249.7_99.98,3
249.84_67.38,3
250.01_120.21,5
250.3_87.78,3
250.39_55.74,3
250.41_106.26,3
250.49_58.45,3
250.64_70.72,3
250.72_127.58,3
250.72_80.61,3
250.76_109.86,3
250.89_72.99,3
250.93_126.25,3
250.95_135.32,2
250.98_123.17,3
251.07_54.81,3
251.19_142.4,3
251.2_96.54,3
251.33_52.61,3
251.37_146.02,5
251.52_124.8,3
251.67_130.34,3
251.71_62.84,3
251.76_49.55,3
252.39_113.66,3
252.55_91.29,3
252.84_71.7,3
252.94_127.2,3
253.24_134.91,3
253.53_119.1,3
253.63_95.77,1
253.64_85.34,3
253.67_83.09,1
253.75_110.9,3
253.82_74.4,3
253.94_108,3
253.99_78.94,3
254.1_66.24,3
254.56_142.66,3
254.62_55.59,3
254.67_103.85,3
254.67_46.86,3
254.95_52.71,3
254.97_115.31,3
255.04_138.89,3
255.08_87.99,3
255.25_128.39,3
255.34_134.61,3
255.36_123.04,3
255.54_98.51,3
255.75_57.18,3
256.42_71.74,3
256.66_144.99,3
256.89_63.39,3
256.94_133.01,3
256.94_49.68,3
257.01_124.64,2
257.13_112.18,3
257.41_67.26,3
257.55_107.65,3
257.56_117.27,3
257.74_93.43,3
257.82_110.02,3
258.01_101.23,3
258.39_128.37,3
258.57_52.7,3
258.8_141.62,3
258.81_137.24,3
258.88_50.03,3
258.96_105.31,3
258.98_123.16,3
259.56_120.23,3
